full_name,abbr_name,start_time,end_time,semester,year,prof,school,course
Elements of Sociology,SOC 104,10:00,10:50 AM,Spring2023,2023,"Pan, Qixin",1,2094
Elements of Sociology,SOC 104,11:00,11:50 AM,Spring2023,2023,"Mansoursharifloo, Zahra",1,2094
Elements of Sociology,SOC 104,11:00,11:50 AM,Spring2023,2023,"Daniels, Alanna",1,2094
Elements of Sociology,SOC 104,11:00,11:50 AM,Spring2023,2023,"Adepeju-Fashina, Damilola",1,2094
Elements of Sociology,SOC 104,11:00,11:50 AM,Spring2023,2023,"Pan, Qixin",1,2094
Elements of Sociology,SOC 104,02:00,02:50 PM,Spring2023,2023,"Bettencourt, Matthew",1,2094
Elements of Sociology,SOC 104,12:00,12:50 PM,Spring2023,2023,"Altamura, Christopher",1,2094
Elements of Sociology,SOC 104,12:00,12:50 PM,Spring2023,2023,"Pan, Qixin",1,2094
Elements of Sociology,SOC 104,12:00,12:50 PM,Spring2023,2023,"Bettencourt, Matthew",1,2094
Elements of Sociology,SOC 104,01:00,01:50 PM,Spring2023,2023,"Bettencourt, Matthew",1,2094
Elements of Sociology,SOC 104,11:00,11:50 AM,Spring2023,2023,"Clemens, Patrick",1,2094
"Elements of Sociology, Honors",SOC 105,01:00,02:15 PM,Spring2023,2023,"Smith, David",1,2095
Comparative Societies,SOC 130,09:30,10:45 AM,Spring2023,2023,"Najafizadeh, Mehrangiz",1,2096
Comparative Societies,SOC 130,01:00,02:15 PM,Spring2023,2023,"Erickson, Matt",1,2096
Comparative Societies,SOC 130,04:00,05:15 PM,Spring2023,2023,"Erickson, Matt",1,2096
Self and Society,SOC 150,APPT,,Spring2023,2023,"McCannon, Kevin",1,2097
Self and Society,SOC 150,11:00,12:15 PM,Spring2023,2023,"Shin, Heeyoun",1,2097
Self and Society,SOC 150,01:00,02:15 PM,Spring2023,2023,"Goettlich, Walter",1,2097
Self and Society,SOC 150,02:30,03:45 PM,Spring2023,2023,"Goettlich, Walter",1,2097
Self and Society,SOC 150,03:00,04:15 PM,Spring2023,2023,"Shin, Heeyoun",1,2097
Social Problms&American Values,SOC 160,10:00,10:50 AM,Spring2023,2023,"Saint Onge, Jarron",1,2098
Social Problms&American Values,SOC 160,09:00,09:50 AM,Spring2023,2023,"Tas, Servet",1,2098
Social Problms&American Values,SOC 160,10:00,10:50 AM,Spring2023,2023,"Tas, Servet",1,2098
Social Problms&American Values,SOC 160,11:00,11:50 AM,Spring2023,2023,"Tas, Servet",1,2098
Social Problms&American Values,SOC 160,11:00,11:50 AM,Spring2023,2023,"Kendrick, Sam",1,2098
Social Problms&American Values,SOC 160,12:00,12:50 PM,Spring2023,2023,"Kendrick, Sam",1,2098
Social Problms&American Values,SOC 160,01:00,01:50 PM,Spring2023,2023,"Kendrick, Sam",1,2098
Social Problms&American Values,SOC 160,10:00,10:50 AM,Spring2023,2023,"Kim, Andrew",1,2098
Social Problms&American Values,SOC 160,11:00,11:50 AM,Spring2023,2023,"Kim, Andrew",1,2098
Social Problms&American Values,SOC 160,12:00,12:50 PM,Spring2023,2023,"Kim, Andrew",1,2098
Social Probs&Amercn Values Hrs,SOC 161,09:30,10:45 AM,Spring2023,2023,"Antonio, Robert",1,2099
Sociological Introduction to:,SOC 200,12:30,01:45 PM,Spring2023,2023,"Felix, Elizabeth",1,2100
Sociology of Families,SOC 220,10:00,10:50 AM,Spring2023,2023,"Babitzke, Jennifer",1,2101
Sociology of Families,SOC 220,11:00,12:15 PM,Spring2023,2023,"Babitzke, Jennifer",1,2101
Introduction to Social Rsearch,SOC 280,APPT,,Spring2023,2023,"Wright, Lisa-Marie",1,2102
Principles of Family Sociology,SOC 308,06:00,08:30 PM,Spring2023,2023,"McCannon, Kevin",1,2103
"Wealth, Power, and Inequality",SOC 321,11:00,12:15 PM,Spring2023,2023,"Kim, Changhwan",1,2104
Sociology of Immigration,SOC 342,09:30,10:45 AM,Spring2023,2023,"Muñetón, Laura",1,2105
Sociology of Immigration,SOC 342,11:00,12:15 PM,Spring2023,2023,"Muñetón, Laura",1,2105
The Sociology of Culture,SOC 363,10:00,10:50 AM,Spring2023,2023,"Donovan, Brian",1,2106
"Society,Populr Cultr&the Media",SOC 364,APPT,,Spring2023,2023,"Wilson, Derek",1,2107
Elemn Statistics&Data Analysis,SOC 380,APPT,,Spring2023,2023,"Lapierre, Tracey",1,2108
Elemn Statistics&Data Analysis,SOC 380,11:00,12:15 PM,Spring2023,2023,"Lapierre, Tracey",1,2108
Environmental Social Problems,SOC 385,11:00,12:15 PM,Spring2023,2023,"Stock, Paul",1,2109
Sociology of Global Food,SOC 386,12:30,01:45 PM,Spring2023,2023,"Stock, Paul",1,2110
Sociology Special Topics:,SOC 400,09:30,10:45 AM,Spring2023,2023,"Saatcioglu, Argun",1,2111
Sociology Special Topics:,SOC 400,02:30,03:45 PM,Spring2023,2023,"Kim, Changhwan",1,2111
Sociology of Health & Medicine,SOC 424,12:30,01:45 PM,Spring2023,2023,"McCannon, Kevin",1,2112
Gender and Society,SOC 450,11:00,12:15 PM,Spring2023,2023,"Sharron, Kelly",1,2113
Compting Perspctv Crime&Devnce,SOC 461,APPT,,Spring2023,2023,"Sharron, Kelly",1,2114
Violence and Society,SOC 462,APPT,,Spring2023,2023,"Donovan, Brian",1,2115
Sociological Theory,SOC 480,02:30,03:45 PM,Spring2023,2023,"Antonio, Robert",1,2116
Globalization,SOC 529,APPT,,Spring2023,2023,"Hanley, Eric",1,2117
Sociology of Mental Illness,SOC 660,11:00,11:50 AM,Spring2023,2023,"Felix, Elizabeth",1,2118
Internship Experience,SPAA 691,APPT,,Spring2023,2023,"Brooks, Karl",1,2119
Research Experience,SPAA 692,APPT,,Spring2023,2023,"Goodyear, Marilu",1,2120
Research Experience,SPAA 692,APPT,,Spring2023,2023,"Merriman, Benjamin",1,2120
Orientation Sem Span&Portuguse,SPAN 101,APPT,,Spring2023,2023,"Sheldon, Megan",1,2121
Elementary Spanish I,SPAN 104,09:00,09:50 AM,Spring2023,2023,"Nye, Rebecca",1,2122
Elementary Spanish I,SPAN 104,10:00,10:50 AM,Spring2023,2023,"Nye, Rebecca",1,2122
Elementary Spanish I,SPAN 104,12:00,12:50 PM,Spring2023,2023,"Salas Forero, Claudia",1,2122
Elementary Spanish I,SPAN 104,01:00,01:50 PM,Spring2023,2023,"Stewart, Madeleine",1,2122
Elementary Spanish I,SPAN 104,02:00,02:50 PM,Spring2023,2023,"Tenorio, Ariadna",1,2122
Elementary Spanish I,SPAN 104,03:00,03:50 PM,Spring2023,2023,"Arias Lopez, Lara",1,2122
Elementary Spanish I,SPAN 104,APPT,,Spring2023,2023,"Rossomondo, Amy; Zuniga Turcios, Darcy",1,2122
Elementary Spanish II,SPAN 108,08:00,08:50 AM,Spring2023,2023,"Fernandez, Jen",1,2123
Elementary Spanish II,SPAN 108,09:00,09:50 AM,Spring2023,2023,"Espinal, Cesia",1,2123
Elementary Spanish II,SPAN 108,10:00,10:50 AM,Spring2023,2023,"Moreno Cruz, Sigree",1,2123
Elementary Spanish II,SPAN 108,10:00,10:50 AM,Spring2023,2023,"Duling, Nikita",1,2123
Elementary Spanish II,SPAN 108,11:00,11:50 AM,Spring2023,2023,"Gray, Michelle",1,2123
Elementary Spanish II,SPAN 108,11:00,11:50 AM,Spring2023,2023,"Del Valle, Etty",1,2123
Elementary Spanish II,SPAN 108,12:00,12:50 PM,Spring2023,2023,"Yates, Davilyn",1,2123
Elementary Spanish II,SPAN 108,01:00,01:50 PM,Spring2023,2023,"Gomez Lomeli, Luis Felipe",1,2123
Elementary Spanish II,SPAN 108,01:00,01:50 PM,Spring2023,2023,"Routsong, Tori",1,2123
Elementary Spanish II,SPAN 108,02:00,02:50 PM,Spring2023,2023,"Camacho, Natalia",1,2123
Elementary Spanish II,SPAN 108,APPT,,Spring2023,2023,"Rossomondo, Amy",1,2123
Elementary Spanish II,SPAN 108,08:00,08:50 AM,Spring2023,2023,"García, Indira",1,2123
"Hspnc Lang, Cultr&Civlztn I-A:",SPAN 170,04:30,06:00 PM,Spring2023,2023,"Miles-Polka, Hattie",1,2124
"Hspnc Lang, Cultr&Civlztn I-B:",SPAN 171,04:30,06:00 PM,Spring2023,2023,"Del Valle, Etty",1,2125
Intro to Translation & Theory,SPAN 202,11:00,12:15 PM,Spring2023,2023,"Dickey, Stephen",1,2126
Intermediate Spanish I,SPAN 212,09:00,09:50 AM,Spring2023,2023,"Gabriele, Jen",1,2127
Intermediate Spanish I,SPAN 212,10:00,10:50 AM,Spring2023,2023,"Gabriele, Jen",1,2127
Intermediate Spanish I,SPAN 212,10:00,10:50 AM,Spring2023,2023,"Pena-Sandoval, Guillermina",1,2127
Intermediate Spanish I,SPAN 212,11:00,11:50 AM,Spring2023,2023,"Pena-Sandoval, Guillermina",1,2127
Intermediate Spanish I,SPAN 212,11:00,11:50 AM,Spring2023,2023,"Haydu, Mira Briana",1,2127
Intermediate Spanish I,SPAN 212,12:00,12:50 PM,Spring2023,2023,"Haydu, Mira Briana",1,2127
Intermediate Spanish I,SPAN 212,12:00,12:50 PM,Spring2023,2023,"Miles-Polka, Hattie",1,2127
Intermediate Spanish I,SPAN 212,01:00,01:50 PM,Spring2023,2023,"Miles-Polka, Hattie",1,2127
Intermediate Spanish I,SPAN 212,02:00,02:50 PM,Spring2023,2023,"Rabinovich, Andres",1,2127
Intermediate Spanish I,SPAN 212,03:00,03:50 PM,Spring2023,2023,"Gabriele, Jen",1,2127
Intermediate Spanish I,SPAN 212,03:00,03:50 PM,Spring2023,2023,"Gabriele, Jen",1,2127
Intermediate Spanish I,SPAN 212,APPT,,Spring2023,2023,"Gabriele, Jen; Rabinovich, Andres",1,2127
Intermediate Spanish II,SPAN 216,08:00,09:15 AM,Spring2023,2023,"Londono Ramirez, Diana",1,2128
Intermediate Spanish II,SPAN 216,08:00,09:15 AM,Spring2023,2023,"Glassett, Zachary",1,2128
Intermediate Spanish II,SPAN 216,09:30,10:45 AM,Spring2023,2023,"Glassett, Zachary",1,2128
Intermediate Spanish II,SPAN 216,09:30,10:45 AM,Spring2023,2023,"Lee, Seungjoo",1,2128
Intermediate Spanish II,SPAN 216,11:00,12:15 PM,Spring2023,2023,"Lee, Seungjoo",1,2128
Intermediate Spanish II,SPAN 216,11:00,12:15 PM,Spring2023,2023,"Miles-Polka, Hattie",1,2128
Intermediate Spanish II,SPAN 216,12:30,01:45 PM,Spring2023,2023,"Raines, Scott",1,2128
Intermediate Spanish II,SPAN 216,12:30,01:45 PM,Spring2023,2023,"Mosquera, Lorena",1,2128
Intermediate Spanish II,SPAN 216,02:00,03:15 PM,Spring2023,2023,"Mosquera, Lorena",1,2128
Intermediate Spanish II,SPAN 216,03:30,04:45 PM,Spring2023,2023,"Londono Ramirez, Diana",1,2128
Intermediate Spanish II,SPAN 216,APPT,,Spring2023,2023,"Londono Ramirez, Diana",1,2128
"Hspnc Lang, Cult&Civlztn II-A:",SPAN 270,04:30,06:00 PM,Spring2023,2023,"Albujar Escuredo, Miguel Angel",1,2129
Grammar and Composition,SPAN 324,09:00,09:50 AM,Spring2023,2023,"Garces Sierra, Luisa",1,2130
Grammar and Composition,SPAN 324,10:00,10:50 AM,Spring2023,2023,"Shiraki, Karisa",1,2130
Grammar and Composition,SPAN 324,01:00,01:50 PM,Spring2023,2023,"Londono Ramirez, Diana",1,2130
Grammar and Composition,SPAN 324,02:00,02:50 PM,Spring2023,2023,"Sanchez Arrocha, Luis",1,2130
Spanish for Heritage Learners,SPAN 325,02:30,03:45 PM,Spring2023,2023,"Masterson, Araceli",1,2131
Spansh for Health Care Workers,SPAN 326,09:30,10:45 AM,Spring2023,2023,"Sheldon, Megan",1,2132
Intermedt Spansh Conversation,SPAN 328,10:00,10:50 AM,Spring2023,2023,"Shiraki, Karisa",1,2133
Intermedt Spansh Conversation,SPAN 328,11:00,11:50 AM,Spring2023,2023,"Garces Sierra, Luisa",1,2133
Intermedt Spansh Conversation,SPAN 328,12:00,12:50 PM,Spring2023,2023,"Del Valle, Etty",1,2133
Intermedt Spansh Conversation,SPAN 328,01:00,01:50 PM,Spring2023,2023,"Sanchez Arrocha, Luis",1,2133
Text Analysis&Critical Reading,SPAN 340,09:30,10:45 AM,Spring2023,2023,"Manning, Patricia",1,2134
Text Analysis&Critical Reading,SPAN 340,02:30,03:45 PM,Spring2023,2023,"Mayhew, Jonathan",1,2134
Text Analysis&Critical Reading,SPAN 340,11:00,12:15 PM,Spring2023,2023,"Rivera, Isidro",1,2134
Text Analysis&Critical Reading,SPAN 340,12:30,01:45 PM,Spring2023,2023,"Rodriguez-Perez, Manuel",1,2134
Transatlantc Hispanic Cultures,SPAN 346,12:30,01:45 PM,Spring2023,2023,"Bayliss Jr, Robert",1,2135
Transatlantc Hispanic Cultures,SPAN 346,11:00,12:15 PM,Spring2023,2023,"Acosta Morales, Rafael",1,2135
Transatlantc Hispanic Cultures,SPAN 346,01:00,02:15 PM,Spring2023,2023,"Acosta Morales, Rafael",1,2135
Transatlantc Hispanic Cultures,SPAN 346,03:00,04:15 PM,Spring2023,2023,"Valderrama Negrón, Ninel Hipatia",1,2135
Transatlantc Hispanic Cultures,SPAN 346,APPT,,Spring2023,2023,"Acosta Morales, Rafael",1,2135
Advd Spanish Compositn&Grammar,SPAN 424,11:00,12:15 PM,Spring2023,2023,"Sheldon, Megan",1,2136
Advd Spanish Compositn&Grammar,SPAN 424,11:00,12:15 PM,Spring2023,2023,"Valderrama Negrón, Ninel Hipatia",1,2136
Advd Spanish Compositn&Grammar,SPAN 424,12:30,01:45 PM,Spring2023,2023,"Sheldon, Megan",1,2136
Advanced Spanish Conversation,SPAN 428,09:00,09:50 AM,Spring2023,2023,"Albujar Escuredo, Miguel Angel",1,2137
Advanced Spanish Conversation,SPAN 428,10:00,10:50 AM,Spring2023,2023,"Albujar Escuredo, Miguel Angel",1,2137
Advanced Spanish Conversation,SPAN 428,02:00,02:50 PM,Spring2023,2023,"Rodriguez-Perez, Manuel",1,2137
Specl Topc Lat Amer Lit&Cultr:,SPAN 442,11:00,12:15 PM,Spring2023,2023,"Bayliss Jr, Robert",1,2138
Specl Topc Lat Amer Lit&Cultr:,SPAN 442,APPT,,Spring2023,2023,"Acosta Morales, Rafael",1,2138
Span Lang&Culture for Business,SPAN 448,11:00,12:15 PM,Spring2023,2023,"Raines, Scott; Albujar Escuredo, Miguel Angel",1,2139
Medieval Spanish Studies:,SPAN 450,02:30,03:45 PM,Spring2023,2023,"Rivera, Isidro",1,2140
20th Century Spanish Studies:,SPAN 453,09:30,10:45 AM,Spring2023,2023,"Mayhew, Jonathan",1,2141
20 Centry Spansh-Amer Studies:,SPAN 462,09:00,10:50 AM,Spring2023,2023,"Garibotto, Veronica",1,2142
Special Readings in Spanish,SPAN 494,APPT,,Spring2023,2023,"Acosta Morales, Rafael",1,2143
Special Readings in Spanish,SPAN 494,APPT,,Spring2023,2023,"Bayliss Jr, Robert",1,2143
Special Readings in Spanish,SPAN 494,APPT,,Spring2023,2023,"Day, Stuart",1,2143
Special Readings in Spanish,SPAN 494,APPT,,Spring2023,2023,"Garibotto, Veronica",1,2143
Special Readings in Spanish,SPAN 494,APPT,,Spring2023,2023,"Masterson, Araceli",1,2143
Special Readings in Spanish,SPAN 494,APPT,,Spring2023,2023,"Mayhew, Jonathan",1,2143
Special Readings in Spanish,SPAN 494,APPT,,Spring2023,2023,"Rivera, Isidro",1,2143
Special Readings in Spanish,SPAN 494,APPT,,Spring2023,2023,"Simoes, Antonio",1,2143
Special Readings in Spanish,SPAN 494,APPT,,Spring2023,2023,"Versteeg, Margot",1,2143
Honors in Spanish,SPAN 496,APPT,,Spring2023,2023,"Acosta Morales, Rafael",1,2144
Honors in Spanish,SPAN 496,APPT,,Spring2023,2023,"Bayliss Jr, Robert",1,2144
Honors in Spanish,SPAN 496,APPT,,Spring2023,2023,"Day, Stuart",1,2144
Honors in Spanish,SPAN 496,APPT,,Spring2023,2023,"Gomez Lomeli, Luis Felipe",1,2144
Honors in Spanish,SPAN 496,APPT,,Spring2023,2023,"Manning, Patricia",1,2144
Honors in Spanish,SPAN 496,APPT,,Spring2023,2023,"Masterson, Araceli",1,2144
Honors in Spanish,SPAN 496,APPT,,Spring2023,2023,"Mayhew, Jonathan",1,2144
Honors in Spanish,SPAN 496,APPT,,Spring2023,2023,"Rivera, Isidro",1,2144
Honors in Spanish,SPAN 496,APPT,,Spring2023,2023,"Rossomondo, Amy",1,2144
Honors in Spanish,SPAN 496,APPT,,Spring2023,2023,"Versteeg, Margot",1,2144
Collquium on Latin Amercn Film,SPAN 560,09:30,10:45 AM,Spring2023,2023,"Acosta Morales, Rafael",1,2145
Studies in Hispnc Linguistics:,SPAN 570,01:00,02:15 PM,Spring2023,2023,"Simoes, Antonio",1,2146
Tchng Ex Chld&Yth Gnrl Educatn,SPED 326,11:00,12:15 PM,Spring2023,2023,"Wagner, Marie",1,2147
Tchng Ex Chld&Yth Gnrl Educatn,SPED 326,12:30,01:45 PM,Spring2023,2023,"Smith, Sean",1,2147
Tchng Ex Chld&Yth Gnrl Educatn,SPED 326,01:00,02:15 PM,Spring2023,2023,"Rowland, Amber",1,2147
Tchng Ex Chld&Yth Gnrl Educatn,SPED 326,03:00,04:15 PM,Spring2023,2023,"Smith, Sean",1,2147
Tchng Ex Chld&Yth Gnrl Educatn,SPED 326,03:00,04:15 PM,Spring2023,2023,"Smith, Sean",1,2147
Intro Early Educ&Child Sp Educ,SPED 362,01:00,02:15 PM,Spring2023,2023,"Cheatham, Gregory",1,2148
Student Tchg:Unifd Erly Chldhd,SPED 439,07:10,09:00 PM,Spring2023,2023,"Parks, Stephanie",1,2149
Student Tchg:Unifd Erly Chldhd,SPED 439,07:10,09:00 PM,Spring2023,2023,"Parks, Stephanie",1,2149
EBP in ELA: Vocab & Comp,SPED 441,10:30,11:20 AM,Spring2023,2023,"Robinson, Suzanne",1,2150
"EBP Math, Sci, and SS for IEPs",SPED 442,01:00,01:50 PM,Spring2023,2023,"Fritschmann, Nanette",1,2151
Assess Stdts with IEPs,SPED 444,01:00,02:15 PM,Spring2023,2023,"Elford, Martha",1,2152
Developing ECU Teach Portfolio,SPED 495,APPT,,Spring2023,2023,"Parks, Stephanie",1,2153
Independent Study,SPED 497,APPT,,Spring2023,2023,"Basham, James",1,2154
Independent Study,SPED 497,APPT,,Spring2023,2023,"Cheatham, Gregory",1,2154
Amricn Sign Language I (ASL I),SPED 501,APPT,,Spring2023,2023,"Malcolm, Ron",1,2155
Amricn Sign Language I (ASL I),SPED 501,09:30,10:45 AM,Spring2023,2023,"Finn, Larry",1,2155
Amricn Sign Language I (ASL I),SPED 501,11:00,12:15 PM,Spring2023,2023,"Finn, Larry",1,2155
Amricn Sign Language I (ASL I),SPED 501,01:00,02:15 PM,Spring2023,2023,"Finn, Larry",1,2155
Amer Sign Language II (ASL II),SPED 502,04:30,07:00 PM,Spring2023,2023,"Hernandez, Michael",1,2156
Amer Sign Language II (ASL II),SPED 502,04:30,07:00 PM,Spring2023,2023,"Hernandez, Michael",1,2156
Amer Sign Language II (ASL II),SPED 502,04:30,07:00 PM,Spring2023,2023,"Milner, Nancy",1,2156
Am Sign Language III (ASL III),SPED 503,APPT,,Spring2023,2023,"Malcolm, Ron",1,2157
Amer Sign Language IV (ASL IV),SPED 504,APPT,,Spring2023,2023,"Malcolm, Ron",1,2158
Constructng Early Chld Currclm,SPED 650,12:30,01:45 PM,Spring2023,2023,"Cheatham, Gregory",1,2159
Suprt Chld Signf Lrn&Beh Chall,SPED 661,09:30,10:45 AM,Spring2023,2023,"Hugh, Maria",1,2160
Inclusv Strat&Intrvn Infnt&Tod,SPED 664,04:30,07:00 PM,Spring2023,2023,"Frick, Teran",1,2161
Inclusv Strat&Intrvn Infnt&Tod,SPED 664,04:30,07:00 PM,Spring2023,2023,"Frick, Teran",1,2161
Practcm with Chld&Youth w/Dis:,SPED 675,APPT,,Spring2023,2023,"Kurth, Jennifer; Zagona, Alison",1,2162
Practcm with Chld&Youth w/Dis:,SPED 675,04:30,07:00 PM,Spring2023,2023,"Kurth, Jennifer; Zagona, Alison",1,2162
Practcm with Chld&Youth w/Dis:,SPED 675,04:30,07:00 PM,Spring2023,2023,"Kurth, Jennifer; Zagona, Alison",1,2162
Practcm with Chld&Youth w/Dis:,SPED 675,04:30,07:00 PM,Spring2023,2023,"Kurth, Jennifer; Zagona, Alison",1,2162
Practcm with Chld&Youth w/Dis:,SPED 675,04:30,07:00 PM,Spring2023,2023,"Kurth, Jennifer; Zagona, Alison",1,2162
Practcm with Chld&Youth w/Dis:,SPED 675,04:30,07:00 PM,Spring2023,2023,"Kurth, Jennifer; Zagona, Alison",1,2162
Practcm with Chld&Youth w/Dis:,SPED 675,04:30,07:00 PM,Spring2023,2023,"Kurth, Jennifer; Zagona, Alison",1,2162
Practcm with Chld&Youth w/Dis:,SPED 675,04:30,07:00 PM,Spring2023,2023,"Kurth, Jennifer; Zagona, Alison",1,2162
Practcm with Chld&Youth w/Dis:,SPED 675,04:30,07:00 PM,Spring2023,2023,"Kurth, Jennifer; Zagona, Alison",1,2162
Survey Communication Disorders,SPLH 161,11:00,12:15 PM,Spring2023,2023,"Rong, Panying",1,2163
Survey Communication Disorders,SPLH 161,APPT,,Spring2023,2023,"Zarifa, Kelly",1,2163
Survey Communication Disorders,SPLH 161,APPT,,Spring2023,2023,"Zarifa, Kelly",1,2163
